clock_time	DMS2537	DMS2545	DMS2709	DMS2797	DMS2843	DMS2862	DMS2868	DMS3189
10:20	NA	NA	NA	NA	NA	0.28	NA	NA
10:28	0.29	NA	0.29	0.28	0.26	NA	NA	NA
10:38	NA	0.28	NA	NA	NA	NA	0.31	0.3
11:02	0.31	0.29	0.31	0.31	0.29	0.32	0.31	0.32
11:30	0.31	0.3	0.3	0.3	0.29	0.33	0.32	0.31
12:05	0.33	0.3	0.31	0.31	0.3	0.34	0.34	0.33
12:38	0.34	0.31	0.32	0.3	0.31	0.32	0.34	0.35
13:18	0.37	0.33	0.38	0.32	0.34	0.34	0.36	0.39
13:59	0.38	0.36	0.47	0.35	0.4	0.36	0.37	0.46
14:39	0.43	0.39	0.53	0.4	0.48	0.39	0.4	0.52
15:19	0.48	0.44	0.62	0.46	0.57	0.42	0.44	0.61
15:54	0.52	0.47	0.7	0.5	0.67	0.48	0.47	0.67
16:42	0.56	0.52	0.8	0.57	0.82	0.57	0.52	0.8
