# Format: locusIslandNum <tab> mrca <tab> locusFamilyOriginStr <tab> [Locus Families and genes in locusIsland]
# The remaining part of each line is organized by locus family
# locusFamilyNum,geneA,geneB <tab> locusFamilyNum,geneC,geneD etc.
# for however many locusFamilies there are.
510	s2	XXXX	510,19239_E_cloacae_ATCC13047-ECL_RS23215,23225_E_coli_K12-b3271,28577_C_rodentium_ICC168-ROD_RS22445	7284,23224_E_coli_K12-b3270,28578_C_rodentium_ICC168-ROD_RS22450,19238_E_cloacae_ATCC13047-ECL_RS23210	7212,28579_C_rodentium_ICC168-ROD_RS22455,23223_E_coli_K12-b3269,19237_E_cloacae_ATCC13047-ECL_RS23205	9204,28580_C_rodentium_ICC168-ROD_RS22460,19236_E_cloacae_ATCC13047-ECL_RS23200
6102	s2	X	6102,20555_E_coli_K12-b0537,15997_E_cloacae_ATCC13047-ECL_RS27645
115	s2	XXXXXXX	507,15988_E_cloacae_ATCC13047-ECL_RS06235,10737_S_typhimurium_14028s-STM14_RS03325,20549_E_coli_K12-b0530	9192,10738_S_typhimurium_14028s-STM14_RS03330,15989_E_cloacae_ATCC13047-ECL_RS06240	115,15990_E_cloacae_ATCC13047-ECL_RS06245,20550_E_coli_K12-b0531,10739_S_typhimurium_14028s-STM14_RS03335	330,15991_E_cloacae_ATCC13047-ECL_RS06250,10740_S_typhimurium_14028s-STM14_RS03340,20551_E_coli_K12-b0532	5454,10741_S_typhimurium_14028s-STM14_RS03345,20552_E_coli_K12-b0533,15992_E_cloacae_ATCC13047-ECL_RS06255	7289,20553_E_coli_K12-b0534,10742_S_typhimurium_14028s-STM14_RS03350,15993_E_cloacae_ATCC13047-ECL_RS06260	7265,20554_E_coli_K12-b0535,10743_S_typhimurium_14028s-STM14_RS03355,15994_E_cloacae_ATCC13047-ECL_RS06265
9135	s2	X	9135,14968_E_cloacae_ATCC13047-ECL_RS00855,23535_E_coli_K12-b3585
450	s2	XXXXX	450,14984_E_cloacae_ATCC13047-ECL_RS00935,13810_S_typhimurium_14028s-STM14_RS19400,23523_E_coli_K12-b3573,28276_C_rodentium_ICC168-ROD_RS20865	5276,14983_E_cloacae_ATCC13047-ECL_RS00930,13811_S_typhimurium_14028s-STM14_RS19405,23524_E_coli_K12-b3574	5395,14982_E_cloacae_ATCC13047-ECL_RS00925,23525_E_coli_K12-b3575,13812_S_typhimurium_14028s-STM14_RS19410	5368,14981_E_cloacae_ATCC13047-ECL_RS00920,23526_E_coli_K12-b3576,13813_S_typhimurium_14028s-STM14_RS19415	8876,14980_E_cloacae_ATCC13047-ECL_RS00915,13814_S_typhimurium_14028s-STM14_RS19420
530	s2	XXXXXXX	5977,14972_E_cloacae_ATCC13047-ECL_RS00875,28272_C_rodentium_ICC168-ROD_RS20845,13823_S_typhimurium_14028s-STM14_RS19465	530,14973_E_cloacae_ATCC13047-ECL_RS00880,28273_C_rodentium_ICC168-ROD_RS20850	6085,13822_S_typhimurium_14028s-STM14_RS19460,28274_C_rodentium_ICC168-ROD_RS20855,14974_E_cloacae_ATCC13047-ECL_RS00885	692,13821_S_typhimurium_14028s-STM14_RS19455,23533_E_coli_K12-b3583,14975_E_cloacae_ATCC13047-ECL_RS00890	1570,14976_E_cloacae_ATCC13047-ECL_RS00895,13820_S_typhimurium_14028s-STM14_RS19450,23532_E_coli_K12-b3582	5452,14977_E_cloacae_ATCC13047-ECL_RS00900,13819_S_typhimurium_14028s-STM14_RS19445,23531_E_coli_K12-b3581	5226,13818_S_typhimurium_14028s-STM14_RS19440,23530_E_coli_K12-b3580,14978_E_cloacae_ATCC13047-ECL_RS00905
7768	s2	XX	7768,15138_E_cloacae_ATCC13047-ECL_RS01755,24031_E_coli_K12-b4105	9119,24032_E_coli_K12-b4106,15139_E_cloacae_ATCC13047-ECL_RS01760
5551	s2	XXX	5551,19403_E_cloacae_ATCC13047-ECL_RS24085,28389_C_rodentium_ICC168-ROD_RS21465	9014,19402_E_cloacae_ATCC13047-ECL_RS24080,28388_C_rodentium_ICC168-ROD_RS21460	7756,19401_E_cloacae_ATCC13047-ECL_RS24075,28387_C_rodentium_ICC168-ROD_RS21455
8183	s2	X	8183,18937_E_cloacae_ATCC13047-ECL_RS21680,27659_C_rodentium_ICC168-ROD_RS17600
7328	s2	XX	7328,27661_C_rodentium_ICC168-ROD_RS17615,18940_E_cloacae_ATCC13047-ECL_RS21695	9011,18939_E_cloacae_ATCC13047-ECL_RS21690,27660_C_rodentium_ICC168-ROD_RS17610
924	s2	XXX	924,17615_E_cloacae_ATCC13047-ECL_RS14740,20738_E_coli_K12-b0730	7537,20739_E_coli_K12-b0731,17614_E_cloacae_ATCC13047-ECL_RS14735	8990,20740_E_coli_K12-b0732,17613_E_cloacae_ATCC13047-ECL_RS14730
