# Lines not beginning with # have the following format: Gene name <tab> family origin <tab> gene history string <tab> locusIsland <tab> initialFamily <tab> originFamily <tab> locusFamily <tab> locFamMRCA <tab> gene description.
########### Begin contig
  14805_E_cloacae_ATCC13047-ECL_RS00005	C	OSSS	2789	882	2679	2789	s0	dnaA - chromosomal replication initiator protein DnaA
  14806_E_cloacae_ATCC13047-ECL_RS00010	C	OSD	4206	2073	4069	4206	s0	dnaN - DNA polymerase III subunit beta
  14807_E_cloacae_ATCC13047-ECL_RS00015	C	OSDS	4207	2074	4070	4207	s0	recF - DNA replication/repair protein RecF
  14808_E_cloacae_ATCC13047-ECL_RS00020	C	OSSS	2803	896	2693	2803	s0	gyrB - DNA topoisomerase (ATP-hydrolyzing) subunit B
  14809_E_cloacae_ATCC13047-ECL_RS00025	X	O	303	26	297	303	E_cloacae_ATCC13047	LysR family transcriptional regulator
  14810_E_cloacae_ATCC13047-ECL_RS00030	X	O	303	3940	7415	7621	E_cloacae_ATCC13047	NAD(P)-dependent alcohol dehydrogenase
  14811_E_cloacae_ATCC13047-ECL_RS00035	C	OSS	2340	510	2240	2340	s0	yidA - sugar-phosphatase
  14812_E_cloacae_ATCC13047-ECL_RS00040	C	OSSST	4545	2322	4404	4545	s1	dgoR - D-galactonate utilization transcriptional regulator DgoR
  14813_E_cloacae_ATCC13047-ECL_RS00045	X	OS	1987	408	2101	2199	s2	2-dehydro-3-deoxygalactonokinase
  14814_E_cloacae_ATCC13047-ECL_RS00050	X	OS	1987	340	1901	1987	s2	2-dehydro-3-deoxy-6-phosphogalactonate aldolase
  14815_E_cloacae_ATCC13047-ECL_RS00055	C	OSDDS	4577	2339	4435	4577	s1	dgoD - galactonate dehydratase
  14816_E_cloacae_ATCC13047-ECL_RS00060	C	OSDS	4547	2324	4406	4547	s1	MFS transporter
  14817_E_cloacae_ATCC13047-ECL_RS00065	C	OSDS	4208	2075	4071	4208	s1	DUF3748 domain-containing protein
  14818_E_cloacae_ATCC13047-ECL_RS00070	C	OSSS	2728	830	2621	2728	s0	YceK/YidQ family lipoprotein
  14819_E_cloacae_ATCC13047-ECL_RS00075	C	ODSSSST	1150	151	1101	1150	s0	ibpA - heat shock chaperone IbpA
  14820_E_cloacae_ATCC13047-ECL_RS00080	C	ODSD	1150	151	1101	1150	s0	ibpB - heat shock chaperone IbpB
  14821_E_cloacae_ATCC13047-ECL_RS00085	C	OSSS	2716	818	2609	2716	s0	putative transporter
  14822_E_cloacae_ATCC13047-ECL_RS00090	X	ODSTT	923	105	887	923	s3	GntR family transcriptional regulator
